T,M
2e-05,0.0
4e-05,0.0
6.000000000000001e-05,0.0
8e-05,0.0
0.0001,0.0
0.00012000000000000002,0.0
0.00014000000000000001,0.0
0.00016,0.0
0.00018,0.0
0.0002,0.0
0.00022,0.0
0.00024000000000000003,0.0
0.00026000000000000003,0.0
0.00028000000000000003,0.0
0.00030000000000000003,0.0
0.00032,0.0
0.00034,0.0
0.00036,0.0
0.00038,0.0
0.0004,0.0
0.00042,0.0
0.00044,0.0
0.00046,0.0
0.00048000000000000007,0.0
0.0005,0.0
0.0005200000000000001,0.0
0.00054,0.0
0.0005600000000000001,0.0
0.00058,0.0
0.0006000000000000001,0.0
0.00062,0.0
0.00064,0.0
0.0006600000000000001,0.0
0.00068,0.0
0.0007000000000000001,0.0
0.00072,0.0
0.0007400000000000001,0.0
0.00076,0.0
0.0007800000000000001,0.0
0.0008,0.0
0.0008200000000000001,0.0
0.00084,0.0
0.0008600000000000001,0.0
0.00088,0.0
0.0009000000000000001,0.0
0.00092,0.0
0.0009400000000000001,0.0
0.0009600000000000001,0.0
0.0009800000000000002,0.0
0.001,4.440892098500635e-59
0.00102,1.9884556105280125e-57
0.0010400000000000001,4.541404944360262e-56
0.0010600000000000002,7.051230367300559e-55
0.00108,8.370121690700545e-54
0.0011,8.099624536026296e-53
0.0011200000000000001,6.653405922331752e-52
0.0011400000000000002,4.7704571622740635e-51
0.00116,3.04669601871628e-50
0.00118,1.760180041596288e-49
0.0012000000000000001,9.311288386518074e-49
0.0012200000000000002,4.554358050682564e-48
0.00124,2.076312431121514e-47
0.00126,8.88210832286634e-47
0.00128,3.585598396164676e-46
0.0013000000000000002,1.3725918927038347e-45
0.0013200000000000002,5.0036144521411776e-45
0.00134,1.743354928953471e-44
0.00136,5.824423705356136e-44
0.0013800000000000002,1.871246366656017e-43
0.0014000000000000002,5.796029289113167e-43
0.00142,1.7347927228682855e-42
0.00144,5.027814695721947e-42
0.0014600000000000001,1.4136360593291514e-41
0.0014800000000000002,3.8624295524425044e-41
0.0015,1.0271200956378946e-40
0.00152,2.6621691706220434e-40
0.0015400000000000001,6.7339441207800605e-40
0.0015600000000000002,1.664346367692107e-39
0.00158,4.023826675807934e-39
0.0016,9.525799693089617e-39
0.0016200000000000001,2.2102603499304063e-38
0.0016400000000000002,5.030943923598514e-38
0.0016600000000000002,1.1242882111678604e-37
0.00168,2.46866591409413e-37
0.0017000000000000001,5.329865222409318e-37
0.0017200000000000002,1.1322242398003272e-36
0.0017400000000000002,2.3680237777363746e-36
0.00176,4.879054168009275e-36
0.0017800000000000001,9.908881295825345e-36
0.0018000000000000002,1.9846435281109203e-35
0.0018200000000000002,3.922165726458309e-35
0.00184,7.65173067435762e-35
0.00186,1.4742715720463763e-34
0.0018800000000000002,2.806486590873102e-34
0.0019000000000000002,5.280684688758645e-34
0.0019200000000000003,9.824820042479633e-34
0.00194,1.808103118005701e-33
0.0019600000000000004,3.292573518858391e-33
0.00198,5.934768603009417e-33
