T,M
0.46794,0.6016489153245124
0.46796000000000004,0.6015783778620527
0.46798000000000006,0.6015078486654247
0.468,0.6014373277336618
0.46802000000000005,0.6013668150657961
0.46804,0.6012963106608645
0.46806000000000003,0.6012258145178994
0.46808000000000005,0.6011553266359352
0.4681,0.6010848470140087
0.46812000000000004,0.6010143756511502
0.46814000000000006,0.6009439125463986
0.46816,0.600873457698785
0.46818000000000004,0.6008030111073476
0.46820000000000006,0.6007325727711186
0.46822,0.6006621426891345
0.46824000000000005,0.6005917208604299
0.46826000000000007,0.6005213072840416
0.46828000000000003,0.6004509019590033
0.46830000000000005,0.6003805048843506
0.46832,0.6003101160591201
0.46834000000000003,0.6002397354823471
0.46836000000000005,0.6001693631530678
0.46838,0.6000989990703173
0.46840000000000004,0.6000286432331339
0.46842000000000006,0.59995829564055
0.46844,0.5998879562916056
0.46846000000000004,0.599817625185335
0.46848000000000006,0.5997473023207747
0.4685,0.5996769876969629
0.46852000000000005,0.5996066813129355
0.46854,0.5995363831677288
0.46856000000000003,0.59946609326038
0.46858000000000005,0.5993958115899274
0.4686,0.5993255381554071
0.46862000000000004,0.5992552729558563
0.46864000000000006,0.5991850159903129
0.46866,0.5991147672578148
0.46868000000000004,0.5990445267573977
0.46870000000000006,0.598974294488101
0.46872,0.5989040704489638
0.46874000000000005,0.5988338546390211
0.46876000000000007,0.5987636470573131
0.46878000000000003,0.5986934477028779
0.46880000000000005,0.5986232565747519
0.46882,0.5985530736719766
0.46884000000000003,0.5984828989935875
0.46886000000000005,0.5984127325386254
0.46888,0.5983425743061276
0.46890000000000004,0.5982724242951349
0.46892000000000006,0.5982022825046835
0.46894,0.5981321489338146
0.46896000000000004,0.5980620235815668
0.46898000000000006,0.5979919064469795
0.46900000000000003,0.5979217975290916
0.46902000000000005,0.5978516968269444
0.46904,0.5977816043395748
0.46906000000000003,0.5977115200660243
0.46908000000000005,0.597641444005332
0.4691,0.59757137615654
0.46912000000000004,0.5975013165186847
0.46914000000000006,0.5974312650908092
0.46916,0.5973612218719525
0.46918000000000004,0.5972911868611549
0.46920000000000006,0.5972211600574586
0.46922,0.5971511414599021
0.46924000000000005,0.5970811310675276
0.46926000000000007,0.5970111288793751
0.46928000000000003,0.5969411348944863
0.46930000000000005,0.5968711491119016
0.46932,0.5968011715306628
0.46934000000000003,0.5967312021498098
0.46936000000000005,0.5966612409683869
0.46938,0.5965912879854329
0.46940000000000004,0.5965213431999901
0.46942000000000006,0.5964514066111005
0.46944,0.5963814782178061
0.46946000000000004,0.5963115580191493
0.46948000000000006,0.5962416460141708
0.46950000000000003,0.5961717422019154
0.46952000000000005,0.596101846581421
0.46954,0.5960319591517346
0.46956000000000003,0.5959620799118956
0.46958000000000005,0.595892208860948
0.4696,0.5958223459979335
0.46962000000000004,0.5957524913218972
0.46964000000000006,0.59568264483188
0.46966,0.5956128065269252
