T,M
2e-05,795.7747154594767
4e-05,716.1972439135291
6.000000000000001e-05,648.5563930994736
8e-05,590.6637825497966
0.0001,540.7786550744306
0.00012000000000000002,497.5103943581102
0.00014000000000000001,459.7430880041426
0.00016,426.57703032158366
0.00018,397.28326035039527
0.0002,371.26814616131304
0.00022,348.04572480276124
0.00024000000000000003,327.21604035293456
0.00026000000000000003,308.44812982555965
0.00028000000000000003,291.46661814657125
0.00030000000000000003,276.04112184799044
0.00032,261.9778438392774
0.00034,249.1128817970778
0.00036,237.30688039703452
0.00038,226.44074044114097
0.0004,216.4121617388008
0.00042,207.13284582519591
0.00044,198.52622264100265
0.00046,190.52559474650863
0.00048000000000000007,183.0726154843235
0.0005,176.11603525662514
0.0005200000000000001,169.61066390890363
0.00054,163.51650800520179
0.0005600000000000001,157.7980502256221
0.00058,152.4236447427509
0.0006000000000000001,147.36500764578835
0.00062,142.59678559281403
0.00064,138.09618912472928
0.0006600000000000001,133.84267965622095
0.00068,129.81770121469938
0.0007000000000000001,126.0044496402691
0.00072,122.38767327607435
0.0007400000000000001,118.95350023719539
0.00076,115.68928820108131
0.0007800000000000001,112.58349335514114
0.0008,109.62555570043631
0.0008200000000000001,106.8057983702924
0.00084,104.11533899949359
0.0008600000000000001,101.54601148970045
0.00088,99.09029677266965
0.0009000000000000001,96.74126138496665
0.00092,94.49250284430578
0.0009400000000000001,92.33810096496195
0.0009600000000000001,90.27257437312697
0.0009800000000000002,88.29084158686547
0.001,86.3881861128887
0.00102,84.56022508648952
0.0010400000000000001,82.80288104393513
0.0010600000000000002,81.11235647024792
0.00108,79.48511081113655
0.0011,77.91783967712065
0.0011200000000000001,76.40745600165336
0.0011400000000000002,74.95107294414287
0.00116,73.54598835391613
0.00118,72.1896706329483
0.0012000000000000001,70.8797458540953
0.0012200000000000002,69.61398600802977
0.00124,68.39029826644325
0.00126,67.20671516163324
0.00128,66.06138559359502
0.0013000000000000002,64.95256658539482
0.0013200000000000002,63.878615716094956
0.00134,62.837984167986306
0.00136,61.829210331491126
0.0013800000000000002,60.85091391694215
0.0014000000000000002,59.90179052761988
0.00142,58.98060665302231
0.00144,58.08619504542197
0.0014600000000000001,57.21745044639726
0.0014800000000000002,56.37332563326226
0.0015,55.5528277582083
0.00152,54.75501495555352
0.0015400000000000001,53.978993194807984
0.0015600000000000002,53.22391335933351
0.00158,52.48896853223626
0.0016,51.77339147280034
0.0016200000000000001,51.076452268273016
0.0016400000000000002,50.39745614716509
0.0016600000000000002,49.735741441450166
0.00168,49.09067768614748
0.0017000000000000001,48.46166384576814
0.0017200000000000002,47.848126658004894
0.0017400000000000002,47.24951908586038
0.00176,46.66531887014801
0.0017800000000000001,46.09502717496986
0.0018000000000000002,45.538167319384826
0.0018200000000000002,44.994283589034254
0.00184,44.46294012199545
0.00186,43.943719863592776
0.0018800000000000002,43.43622358531396
0.0019000000000000002,42.940068963361156
0.0019200000000000003,42.45488971271441
0.00194,41.98033477290415
0.0019600000000000004,41.51606754198024
0.00198,41.06176515543218
0.002,40.617117807059145
0.00202,40.18182810901284
0.00204,39.755610488441434
0.00206,39.338190618352
0.0020800000000000003,38.92930488048205
0.0021000000000000003,38.52869985813042
0.0021200000000000004,38.13613185704469
0.00214,37.75136645259727
0.00216,37.374178061607246
0.00218,37.00434953727965
0.0022,36.64167178584002
0.00222,36.28594340354002
0.0022400000000000002,35.936970332800364
0.0022600000000000003,35.59456553634088
0.0022800000000000003,35.25854868822489
0.0023000000000000004,34.92874588081688
0.00232,34.60498934671857
0.00234,34.28711719481021
0.00236,33.97497315958065
0.00238,33.66840636298299
0.0024000000000000002,33.367271088101475
0.0024200000000000003,33.07142656396097
0.0024400000000000003,32.7807367608529
0.0024600000000000004,32.49507019559085
0.00248,32.2142997461456
0.0025,31.9383024751439
0.00252,31.666959461746618
0.00254,31.400155641451942
0.00256,31.137779653396688
0.0025800000000000003,30.87972369475472
0.0026000000000000003,30.6258833818554
0.0026200000000000004,30.376157617667563
0.0026400000000000004,30.130448465315435
0.00266,29.888661027312516
0.00268,29.650703330217823
0.0027,29.416486214435988
0.00272,29.185923228898826
0.0027400000000000002,28.958930530380904
0.0027600000000000003,28.735426787215843
0.0027800000000000004,28.515333087193167
0.0028000000000000004,28.298572849427945
0.00282,28.085071740007045
0.00284,27.87475759122666
0.00286,27.667560324246054
0.00288,27.46341187499199
0.0029000000000000002,27.26224612315738
0.0029200000000000003,27.06399882414606
0.0029400000000000003,26.868607543823693
0.0029600000000000004,26.676011595942125
0.0029800000000000004,26.4861519821117
0.003,26.29897133420259
0.00302,26.11441385906245
0.00304,25.93242528544357
0.0030600000000000002,25.75295281303832
0.0030800000000000003,25.575945063526742
0.0031000000000000003,25.40135203354523
0.0031200000000000004,25.22912504948978
0.0031400000000000004,25.0592167240717
0.00316,24.891580914547806
0.00318,24.726172682551038
0.0032,24.562948255451115
0.00322,24.401864989178293
0.0032400000000000003,24.242881332446665
0.0032600000000000003,24.085956792316477
0.0032800000000000004,23.931051901037907
0.0033000000000000004,23.778128184121538
0.0033200000000000005,23.627148129583404
0.00334,23.478075158314965
0.00336,23.330873595530722
0.00338,23.18550864324845
0.0034000000000000002,23.041946353759123
0.0034200000000000003,22.90015360404562
0.0034400000000000003,22.760098071111212
0.0034600000000000004,22.621748208180637
0.0034800000000000005,22.485073221738258
0.0035,22.35004304936947
0.00352,22.21662833837304
0.00354,22.084800425113514
0.0035600000000000002,21.954531315084235
0.0035800000000000003,21.82579366365286
0.0036000000000000003,21.69856075746247
