R,D
0.0,0.0033171974032312358
0.02040816326530612,0.00331136082924292
0.04081632653061224,0.003302292868241097
0.061224489795918366,0.0032896838205952604
0.08163265306122448,0.003273424955720798
0.1020408163265306,0.0032534788972440705
0.12244897959183673,0.003229842592469517
0.14285714285714285,0.003202533399324948
0.16326530612244897,0.003171582863417304
0.18367346938775508,0.003137033560334351
0.2040816326530612,0.003098937322848611
0.22448979591836732,0.0030573541536057544
0.24489795918367346,0.003012351500924195
0.26530612244897955,0.00296400373682131
0.2857142857142857,0.0029123917516979026
0.3061224489795918,0.002857602617751226
0.32653061224489793,0.0027997292931064193
0.3469387755102041,0.0027388703497219697
0.36734693877551017,0.0026751297145337677
0.3877551020408163,0.00260861641715165
0.4081632653061224,0.0025394443398098414
0.42857142857142855,0.002467731966796751
0.44897959183673464,0.002393602131588141
0.4693877551020408,0.002317181760577747
0.4897959183673469,0.0022386016127590707
0.5102040816326531,0.0021579960150338623
0.5306122448979591,0.0020755025930524838
0.5510204081632653,0.0019912619976581577
0.5714285714285714,0.0019054176271302685
0.5918367346938775,0.0018181153455141728
0.6122448979591836,0.001729503197395018
0.6326530612244897,0.0016397311195267886
0.6530612244897959,0.001548950649769337
0.673469387755102,0.0014573146338184167
0.6938775510204082,0.0013649769302387553
0.7142857142857142,0.001272092114329529
0.7346938775510203,0.0011788151813662956
0.7551020408163265,0.0010853012497742767
0.7755102040816326,0.0009917052647955217
0.7959183673469387,0.0008981817032173204
0.8163265306122448,0.0008048842797316253
0.836734693877551,0.0007119656554954805
0.8571428571428571,0.0006195771494606982
0.8775510204081632,0.0005278684530374777
0.8979591836734693,0.00043698734865143195
0.9183673469387754,0.00034707943274670265
0.9387755102040816,0.0002582878437795747
0.9591836734693877,0.00017075299573735185
0.9795918367346939,8.461231770627208e-05
1.0,0.0
