R,D
0.0,0.0033168084504972646
0.02040816326530612,0.003310972560867199
0.04081632653061224,0.003301905663114799
0.061224489795918366,0.0032892980939228985
0.08163265306122448,0.0032730411354559177
0.1020408163265306,0.0032530974157227244
0.12244897959183673,0.003229463882385698
0.14285714285714285,0.0032021578913373717
0.16326530612244897,0.0031712109844858555
0.18367346938775508,0.003136665732426783
0.2040816326530612,0.003098573961855106
0.22448979591836732,0.0030569956683809793
0.24489795918367346,0.0030119982924142713
0.26530612244897955,0.002963656197251986
0.2857142857142857,0.0029120502638102503
0.3061224489795918,0.0028572675540768045
0.32653061224489793,0.00279940101527713
0.3469387755102041,0.002738549207811815
0.36734693877551017,0.002674816046430961
0.3877551020408163,0.0026083105479603108
0.4081632653061224,0.002539146581281008
0.42857142857142855,0.0024674426167887735
0.44897959183673464,0.0023933214735567246
0.4693877551020408,0.0023169100630960437
0.4897959183673469,0.0022383391290682936
0.5102040816326531,0.0021577429826249357
0.5306122448979591,0.0020752592332792543
0.5510204081632653,0.00199102851538268
0.5714285714285714,0.001905194210400658
0.5918367346938775,0.0018179021652754879
0.6122448979591836,0.0017293004072335832
0.6326530612244897,0.0016395388554483314
0.6530612244897959,0.001548769030011253
0.673469387755102,0.0014571437586964214
0.6938775510204082,0.0013648168820281211
0.7142857142857142,0.0012719429571810463
0.7346938775510203,0.0011786769612570293
0.7551020408163265,0.0010851739944931257
0.7755102040816326,0.0009915889839635262
0.7959183673469387,0.0008980763883425886
0.8163265306122448,0.0008047899042986929
0.836734693877551,0.0007118821750888406
0.8571428571428571,0.0006195045019221795
0.8775510204081632,0.0005278065586570795
0.8979591836734693,0.0004369361103911592
0.9183673469387754,0.0003470387364968793
0.9387755102040816,0.00025825755864705165
0.9591836734693877,0.00017073297436495996
0.9795918367346939,8.460239662281219e-05
1.0,0.0
