R,D
0.0,0.3665044355369785
0.02040816326530612,0.3658192990727928
0.04081632653061224,0.3647552489642822
0.061224489795918366,0.36327645920152624
0.08163265306122448,0.361370920573283
0.1020408163265306,0.35903522115610903
0.12244897959183673,0.3562701905059935
0.14285714285714285,0.35307925374843596
0.16326530612244897,0.34946768522083604
0.18367346938775508,0.345442219209098
0.2040816326530612,0.34101082087922585
0.22448979591836732,0.3361825356173035
0.24489795918367346,0.3309673792414674
0.26530612244897955,0.32537625050744257
0.2857142857142857,0.3194208561758736
0.3061224489795918,0.3131136433342178
0.32653061224489793,0.30646773600933497
0.3469387755102041,0.29949687440876177
0.36734693877551017,0.29221535588108466
0.3877551020408163,0.2846379771346807
0.4081632653061224,0.27677997752809413
0.42857142857142855,0.26865698341465233
0.44897959183673464,0.2602849536283078
0.4693877551020408,0.25168012626034536
0.4897959183673469,0.24285896691153172
0.5102040816326531,0.23383811862022877
0.5306122448979591,0.22463435366953644
0.5510204081632653,0.21526452746938887
0.5714285714285714,0.20574553469525145
0.5918367346938775,0.19609426784547138
0.6122448979591836,0.18632757835578467
0.6326530612244897,0.17646224038302413
0.6530612244897959,0.16651491734156457
0.673469387755102,0.15650213124619214
0.6938775510204082,0.14644023488452007
0.7142857142857142,0.13634538681133795
0.7346938775510203,0.12623352912687535
0.7551020408163265,0.11612036797132812
0.7755102040816326,0.10602135663955276
0.7959183673469387,0.0959516811929569
0.8163265306122448,0.0859262484206361
0.836734693877551,0.07595967597904195
0.8571428571428571,0.06606628451917891
0.8775510204081632,0.05626009159275262
0.8979591836734693,0.04655480711402582
0.9183673469387754,0.03696383014253907
0.9387755102040816,0.027500246743439222
0.9591836734693877,0.018176828677009267
0.9795918367346939,0.00900603266714722
1.0,0.0
